IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
4.219.15.140,2053,443,true,CPH,Europe,DK,Copenhagen,184,11.44
20.91.225.232,8443,443,true,ARN,Europe,SE,Stockholm,514,11.15
20.163.71.179,443,443,true,SJC,North America,US,San Jose,302,11.11
13.67.136.12,443,443,true,ORD,North America,US,Chicago,409,10.96
20.33.62.19,2083,443,true,LHR,Europe,GB,London,351,10.92
4.255.56.137,443,443,true,IAD,North America,US,Ashburn,436,10.46
4.221.60.243,2053,443,true,JNB,Africa,ZA,Johannesburg,269,10.23
4.221.60.243,8443,443,true,JNB,Africa,ZA,Johannesburg,280,10.21
4.182.90.213,443,443,true,FRA,Europe,DE,Frankfurt,415,10.14
20.221.32.145,443,443,true,ORD,North America,US,Chicago,195,10.09
172.214.176.68,2053,443,true,ORD,North America,US,Chicago,318,9.57
74.249.233.213,443,443,true,ORD,North America,US,Chicago,240,9.46
158.23.168.120,443,443,true,DFW,North America,US,Dallas,238,8.84
20.109.23.42,443,443,true,IAD,North America,US,Ashburn,296,8.56
20.25.205.37,8443,443,true,ORD,North America,US,Chicago,416,8.53
20.220.29.122,2053,443,true,YYZ,North America,CA,Toronto,427,8.49
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,357,8.47
20.220.29.122,8443,443,true,YYZ,North America,CA,Toronto,271,8.45
172.191.132.64,443,443,true,IAD,North America,US,Ashburn,238,8.43
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,318,8.42
20.62.202.159,443,443,true,IAD,North America,US,Ashburn,386,8.23
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,483,8.22
20.36.131.211,443,443,true,IAD,North America,US,Ashburn,347,8.16
4.172.225.98,8443,443,true,YYZ,North America,CA,Toronto,256,8.12
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,330,8.06
4.239.248.70,8443,443,true,YYZ,North America,CA,Toronto,298,8.06
172.191.74.198,443,443,true,IAD,North America,US,Ashburn,426,8.00
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,265,7.99
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,274,7.93
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,427,7.81
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,409,7.76
4.206.223.188,8443,443,true,YYZ,North America,CA,Toronto,296,7.69
40.123.42.160,8443,443,true,IAD,North America,US,Ashburn,487,7.69
