IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
141.147.10.136,443,443,true,FRA,Europe,DE,Frankfurt,245,9.16
79.76.114.204,443,443,true,FRA,Europe,DE,Frankfurt,239,9.09
79.72.85.85,443,443,true,FRA,Europe,DE,Frankfurt,262,9.08
141.147.5.212,443,443,true,FRA,Europe,DE,Frankfurt,205,9.02
193.123.37.167,443,443,true,FRA,Europe,DE,Frankfurt,325,9.02
152.70.123.225,8443,443,true,SJC,North America,US,San Jose,286,9.00
79.72.68.163,443,443,true,FRA,Europe,DE,Frankfurt,204,8.98
89.168.82.215,443,443,true,FRA,Europe,DE,Frankfurt,310,8.98
141.147.76.18,443,443,true,FRA,Europe,DE,Frankfurt,263,8.96
144.21.48.193,443,443,true,FRA,Europe,DE,Frankfurt,206,8.93
79.72.73.22,443,443,true,FRA,Europe,DE,Frankfurt,265,8.86
79.76.99.1,443,443,true,CDG,Europe,FR,Paris,223,8.81
144.21.41.129,443,443,true,FRA,Europe,DE,Frankfurt,297,8.79
144.24.90.140,443,443,true,SIN,Asia Pacific,SG,Singapore,88,8.78
158.180.19.24,443,443,true,FRA,Europe,DE,Frankfurt,233,8.78
129.154.56.168,443,443,true,SIN,Asia Pacific,SG,Singapore,349,8.76
79.72.78.18,443,443,true,FRA,Europe,DE,Frankfurt,231,8.75
130.162.250.180,443,443,true,FRA,Europe,DE,Frankfurt,216,8.70
158.178.148.14,443,443,true,FRA,Europe,DE,Frankfurt,339,8.70
130.162.168.111,443,443,true,FRA,Europe,DE,Frankfurt,242,8.61
141.147.70.198,443,443,true,FRA,Europe,DE,Frankfurt,295,8.59
158.178.159.135,443,443,true,FRA,Europe,DE,Frankfurt,381,8.59
158.180.82.203,8443,443,true,ICN,Asia Pacific,KR,Seoul,69,8.59
158.178.192.221,443,443,true,CDG,Europe,FR,Paris,304,8.53
130.162.153.135,443,443,true,SIN,Asia Pacific,SG,Singapore,125,8.48
79.72.68.3,443,443,true,FRA,Europe,DE,Frankfurt,269,8.45
144.24.73.27,443,443,true,SIN,Asia Pacific,SG,Singapore,226,8.42
84.8.156.144,443,443,true,FRA,Europe,DE,Frankfurt,291,8.36
146.56.186.75,443,443,true,SIN,Asia Pacific,SG,Singapore,158,8.33
158.101.70.46,443,443,true,SIN,Asia Pacific,SG,Singapore,168,8.29
152.67.194.239,443,443,true,SIN,Asia Pacific,SG,Singapore,320,8.26
144.21.41.15,443,443,true,FRA,Europe,DE,Frankfurt,230,8.26
141.144.199.157,443,443,true,FRA,Europe,DE,Frankfurt,240,8.23
141.147.72.56,443,443,true,FRA,Europe,DE,Frankfurt,245,8.23
79.72.90.81,443,443,true,FRA,Europe,DE,Frankfurt,267,8.21
129.146.60.210,443,443,true,LAX,North America,US,Los Angeles,247,8.20
141.144.203.96,443,443,true,FRA,Europe,DE,Frankfurt,174,8.18
152.70.237.214,443,443,true,SIN,Asia Pacific,SG,Singapore,230,8.11
143.47.235.96,443,443,true,CDG,Europe,FR,Paris,251,8.09
140.238.122.58,443,443,true,FRA,Europe,DE,Frankfurt,291,8.02
79.76.100.118,443,443,true,FRA,Europe,DE,Frankfurt,274,8.02
152.67.206.64,443,443,true,SIN,Asia Pacific,SG,Singapore,314,8.00
79.72.67.81,443,443,true,FRA,Europe,DE,Frankfurt,308,7.93
89.168.112.118,443,443,true,FRA,Europe,DE,Frankfurt,241,7.92
132.145.65.7,443,443,true,FRA,Europe,DE,Frankfurt,283,7.89
141.147.17.77,443,443,true,FRA,Europe,DE,Frankfurt,267,7.88
158.101.176.20,443,443,true,FRA,Europe,DE,Frankfurt,320,7.87
158.180.13.68,443,443,true,FRA,Europe,DE,Frankfurt,235,7.87
79.76.106.174,443,443,true,FRA,Europe,DE,Frankfurt,307,7.85
144.21.48.8,443,443,true,FRA,Europe,DE,Frankfurt,330,7.83
130.162.229.194,443,443,true,FRA,Europe,DE,Frankfurt,172,7.83
138.2.138.83,443,443,true,FRA,Europe,DE,Frankfurt,256,7.81
131.186.20.79,443,443,true,SIN,Asia Pacific,SG,Singapore,128,7.71
132.226.192.229,443,443,true,FRA,Europe,DE,Frankfurt,220,7.59
130.162.151.155,443,443,true,SIN,Asia Pacific,SG,Singapore,96,7.57
143.47.191.142,443,443,true,FRA,Europe,DE,Frankfurt,250,7.56
89.168.67.30,443,443,true,FRA,Europe,DE,Frankfurt,233,7.51
141.144.197.160,443,443,true,CDG,Europe,FR,Paris,247,7.50
144.24.161.30,443,443,true,FRA,Europe,DE,Frankfurt,237,7.47
141.145.205.115,8443,8443,true,CDG,Europe,FR,Paris,214,7.45
146.56.168.95,443,443,true,SIN,Asia Pacific,SG,Singapore,141,7.42
131.186.36.132,443,443,true,SIN,Asia Pacific,SG,Singapore,147,7.41
89.168.75.235,443,443,true,FRA,Europe,DE,Frankfurt,246,7.28
152.70.59.193,443,443,true,FRA,Europe,DE,Frankfurt,297,7.27
150.230.149.208,443,443,true,FRA,Europe,DE,Frankfurt,218,7.26
131.186.36.138,443,443,true,SIN,Asia Pacific,SG,Singapore,143,7.26
138.3.208.236,443,443,true,SIN,Asia Pacific,SG,Singapore,205,7.25
146.56.173.79,443,443,true,SIN,Asia Pacific,SG,Singapore,180,7.22
143.47.237.200,443,443,true,FRA,Europe,DE,Frankfurt,244,7.17
158.101.82.255,443,443,true,SIN,Asia Pacific,SG,Singapore,233,7.16
129.159.241.172,443,443,true,FRA,Europe,DE,Frankfurt,172,7.13
155.248.167.38,443,443,true,SIN,Asia Pacific,SG,Singapore,106,7.12
141.147.84.151,443,443,true,FRA,Europe,DE,Frankfurt,240,7.09
89.168.122.44,443,443,true,FRA,Europe,DE,Frankfurt,301,7.09
129.159.240.89,443,443,true,FRA,Europe,DE,Frankfurt,199,7.05
130.61.107.238,8443,443,true,FRA,Europe,DE,Frankfurt,260,7.05
40.233.70.7,8443,443,true,YYZ,North America,CA,Toronto,344,7.02
132.226.22.86,443,443,true,SIN,Asia Pacific,SG,Singapore,130,7.01
158.178.153.80,2096,443,true,AMS,Europe,NL,Amsterdam,307,6.93
130.61.170.78,443,443,true,FRA,Europe,DE,Frankfurt,197,6.92
141.144.205.111,443,443,true,FRA,Europe,DE,Frankfurt,235,6.91
89.168.112.118,8443,443,true,FRA,Europe,DE,Frankfurt,222,6.88
89.168.109.58,443,443,true,FRA,Europe,DE,Frankfurt,188,6.80
143.47.224.41,443,443,true,FRA,Europe,DE,Frankfurt,284,6.78
129.159.197.236,443,443,true,FRA,Europe,DE,Frankfurt,162,6.76
130.61.23.77,443,443,true,FRA,Europe,DE,Frankfurt,188,6.63
140.84.179.114,443,443,true,DFW,North America,US,Dallas,406,6.59
164.152.26.70,2052,443,true,ORD,North America,US,Chicago,221,6.44
130.162.47.134,443,443,true,FRA,Europe,DE,Frankfurt,170,6.43
143.47.248.1,443,443,true,FRA,Europe,DE,Frankfurt,206,6.43
204.216.105.106,8443,8443,true,ORD,North America,US,Chicago,289,6.34
141.147.47.135,443,443,true,FRA,Europe,DE,Frankfurt,164,6.31
132.145.54.84,8443,443,true,LHR,Europe,GB,London,295,6.29
141.144.245.130,443,443,true,CDG,Europe,FR,Paris,285,6.25
144.24.243.207,443,443,true,MXP,Europe,IT,Milan,311,6.24
164.152.26.70,2086,443,true,ORD,North America,US,Chicago,223,6.10
168.138.162.187,443,443,true,SIN,Asia Pacific,SG,Singapore,79,6.06
158.179.207.182,8443,443,true,ARN,Europe,SE,Stockholm,329,6.04
130.162.153.91,443,443,true,SIN,Asia Pacific,SG,Singapore,159,5.96
140.245.88.19,443,443,true,NRT,Asia Pacific,JP,Tokyo,176,5.90
158.179.167.73,443,443,true,ICN,Asia Pacific,KR,Seoul,185,5.87
